zipcode,state,is remote
83680,Idaho,true
83680,Texas,true
83686,Idaho,true
83686,Texas,true
83687,Idaho,true
83687,Texas,true
83701,Idaho,true
83701,Texas,true
83702,Idaho,true
83702,Texas,true
83703,Idaho,true
83703,Texas,true
83704,Idaho,true
83704,Texas,true
83705,Idaho,true
83705,Texas,true
83706,Idaho,true
83706,Texas,true
83707,Idaho,true
83707,Texas,true
83708,Idaho,true
83708,Texas,true
83709,Idaho,true
83709,Texas,true
83711,Idaho,true
83711,Texas,true
83712,Idaho,true
83712,Texas,true
83713,Idaho,true
83713,Texas,true
83714,Idaho,true
83714,Texas,true
83715,Idaho,true
83715,Texas,true
83716,Idaho,true
83716,Texas,true
83717,Idaho,true
83717,Texas,true
83720,Idaho,true
83720,Texas,true
83721,Idaho,true
83721,Texas,true
83722,Idaho,true
83722,Texas,true
83724,Idaho,true
83724,Texas,true
83725,Idaho,true
83725,Texas,true
83726,Idaho,true
83726,Texas,true
83728,Idaho,true
83728,Texas,true
83729,Idaho,true
83729,Texas,true
83731,Idaho,true
83731,Texas,true
83732,Idaho,true
83732,Texas,true
83733,Idaho,true
83733,Texas,true
83735,Idaho,true
83735,Texas,true
83756,Idaho,true
83756,Texas,true
83799,Idaho,true
83799,Texas,true
83866,Idaho,true
83866,Texas,true
84001,Texas,true
84002,Texas,true
84002,Utah,true
84007,Texas,true
84007,Utah,true
84008,Texas,true
84008,Utah,true
84013,Texas,true
84013,Utah,true
84021,Texas,true
84021,Utah,true
84022,Texas,true
84022,Utah,true
84023,Texas,true
84023,Utah,true
84026,Texas,true
84026,Utah,true
84027,Texas,true
84027,Utah,true
84028,Texas,true
84028,Utah,true
84031,Texas,true
84031,Utah,true
84032,Texas,true
84032,Utah,true
84034,Texas,true
84034,Utah,true
84035,Texas,true
84035,Utah,true
84038,Texas,true
84038,Utah,true
84039,Texas,true
84039,Utah,true
84046,Texas,true
84046,Utah,true
84051,Texas,true
84051,Utah,true
84052,Texas,true
84052,Utah,true
84053,Texas,true
84053,Utah,true
84061,Texas,true
84061,Utah,true
84063,Texas,true
84063,Utah,true
84064,Texas,true
84064,Utah,true
84066,Texas,true
84066,Utah,true
84069,Texas,true
84069,Utah,true
84071,Texas,true
84071,Utah,true
84072,Texas,true
84072,Utah,true
84073,Texas,true
84073,Utah,true
84076,Texas,true
84076,Utah,true
84078,Texas,true
84078,Utah,true
84079,Texas,true
84079,Utah,true
84080,Texas,true
84080,Utah,true
84083,Texas,true
84083,Utah,true
84085,Texas,true
84085,Utah,true
84086,Texas,true
84086,Utah,true
84301,Texas,true
84301,Utah,true
84304,Texas,true
84304,Utah,true
84305,Texas,true
84305,Utah,true
84306,Texas,true
84306,Utah,true
84307,Texas,true
84307,Utah,true
84308,Texas,true
84308,Utah,true
84309,Texas,true
84309,Utah,true
84311,Texas,true
84311,Utah,true
84312,Texas,true
84312,Utah,true
84313,Texas,true
84313,Utah,true
84314,Texas,true
84314,Utah,true
84316,Texas,true
84316,Utah,true
84318,Texas,true
84318,Utah,true
84320,Texas,true
84320,Utah,true
84327,Texas,true
84327,Utah,true
84329,Texas,true
84329,Utah,true
84330,Texas,true
84330,Utah,true
84331,Texas,true
84331,Utah,true
84332,Texas,true
84332,Utah,true
84333,Texas,true
84333,Utah,true
84335,Texas,true
84335,Utah,true
84336,Texas,true
84336,Utah,true
84337,Texas,true
84337,Utah,true
84338,Texas,true
84338,Utah,true
84339,Texas,true
84339,Utah,true
84501,Texas,true
84501,Utah,true
84510,Texas,true
84510,Utah,true
84511,Texas,true
84511,Utah,true
84512,Texas,true
84512,Utah,true
84513,Texas,true
84513,Utah,true
84515,Texas,true
84515,Utah,true
84516,Texas,true
84516,Utah,true
84518,Texas,true
84518,Utah,true
84520,Texas,true
84520,Utah,true
84521,Texas,true
84521,Utah,true
84522,Texas,true
84522,Utah,true
84523,Texas,true
84523,Utah,true
84525,Texas,true
84525,Utah,true
84526,Texas,true
84526,Utah,true
84528,Texas,true
84528,Utah,true
84529,Texas,true
84529,Utah,true
84530,Texas,true
84530,Utah,true
84531,Texas,true
84531,Utah,true
84532,Texas,true
84532,Utah,true
84533,Texas,true
84533,Utah,true
84534,Texas,true
84534,Utah,true
84535,Texas,true
84535,Utah,true
84536,Texas,true
84536,Utah,true
84537,Texas,true
84537,Utah,true
84539,Texas,true
84539,Utah,true
84540,Texas,true
84540,Utah,true
84542,Texas,true
84542,Utah,true
84620,Texas,true
84620,Utah,true
84621,Texas,true
84621,Utah,true
84622,Texas,true
84622,Utah,true
84623,Texas,true
84623,Utah,true
84624,Texas,true
84624,Utah,true
84626,Texas,true
84626,Utah,true
84627,Texas,true
84627,Utah,true
84628,Texas,true
84628,Utah,true
84629,Texas,true
84629,Utah,true
84630,Texas,true
84630,Utah,true
84631,Texas,true
84631,Utah,true
84632,Texas,true
84632,Utah,true
84633,Texas,true
84633,Utah,true
84634,Texas,true
84634,Utah,true
84635,Texas,true
84635,Utah,true
84636,Texas,true
84636,Utah,true
84637,Texas,true
84637,Utah,true
84638,Texas,true
84638,Utah,true
84639,Texas,true
84639,Utah,true
84640,Texas,true
84640,Utah,true
84642,Texas,true
84642,Utah,true
84643,Texas,true
84643,Utah,true
84644,Texas,true
84644,Utah,true
84645,Texas,true
84645,Utah,true
84646,Texas,true
84646,Utah,true
84647,Texas,true
84647,Utah,true
84648,Texas,true
84648,Utah,true
84649,Texas,true
84649,Utah,true
84652,Texas,true
84652,Utah,true
