Product SKU,,,,Product Description,Stock,NEW STATUS,Current Qty,Qty Sold,Price,Discounted Price,Supplier,Supplier Price,Alert Limit,Max LImit,Category,Sub-category,Factory
A003,C7,,,Florence Relaxed Bench - 3 Seats Velvet-Empress Green,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C8,,,Florence Relaxed Bench - 3 Seats Velvet-Indigo Blue,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,C9,,,Florence Relaxed Bench - 3 Seats Velvet-Jeweled Plum,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,CA,,,Florence Relaxed Bench - 3 Seats Velvet-Midnight Blue,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,E0,,,Florence Relaxed Bench - 3 Seats Linen-Slate Grey,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,E1,,,Florence Relaxed Bench - 3 Seats Linen-Smoke,Discontinued,,0,0,1849,,SCBF-200,$181.00 ,,,Chairs,,Ytoom
A003,H0,,,Florence Relaxed Bench - 3 Seats Top Grain-Black,Discontinued,,0,1,2279,,SCBF-200,$271.00 ,,,Chairs,,Ytoom
A003,H1,,,Florence Relaxed Bench - 3 Seats Top Grain-White,Discontinued,,0,0,2279,,SCBF-200,$271.00 ,,,Chairs,,Ytoom
A003,H2,,,Florence Relaxed Bench - 3 Seats Top Grain-Cream,Discontinued,,0,0,2279,,SCBF-200,$271.00 ,,,Chairs,,Ytoom
A003,H3,,,Florence Relaxed Bench - 3 Seats Top Grain-Dark Brown,Discontinued,,0,0,2279,,SCBF-200,$271.00 ,,,Chairs,,Ytoom
A003,H4,,,Florence Relaxed Bench - 3 Seats Top Grain-Tan,Discontinued,,0,0,2279,,SCBF-200,$271.00 ,,,Chairs,,Ytoom
A003,H5,,,Florence Relaxed Bench - 3 Seats Top Grain-Red,Discontinued,,0,0,2279,,SCBF-200,$271.00 ,,,Chairs,,Ytoom
A003,J0,,,Florence Relaxed Bench - 3 Seats Vintage Leather-Brown,Discontinued,,0,1,2609,,SCBF-200,$386.00 ,,,Chairs,,Ytoom
A003,J5,,,Florence Relaxed Bench - 3 Seats Vintage Leather-Caramel,Discontinued,,0,0,2609,,SCBF-200,$386.00 ,,,Chairs,,Ytoom
A003,V0,,,Florence Relaxed Bench - 3 Seats Aniline Leather-Black,Discontinued,,0,0,2449,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A003,V1,,,Florence Relaxed Bench - 3 Seats Aniline Leather-White,Discontinued,,0,0,2449,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A003,V2,,,Florence Relaxed Bench - 3 Seats Aniline Leather-Cream,Discontinued,,0,0,2449,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A003,V3,,,Florence Relaxed Bench - 3 Seats Aniline Leather-Dark Brown,Discontinued,,0,1,2449,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A003,V4,,,Florence Relaxed Bench - 3 Seats Aniline Leather-Beige,Discontinued,,0,0,2449,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A003,V5,,,Florence Relaxed Bench - 3 Seats Aniline Leather-Camel,Discontinued,,0,0,2449,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A003,V8,,,Florence Relaxed Bench - 3 Seats Aniline Leather-Sand,Discontinued,,1,0,1879,,SCBF-200,$313.00 ,,,Chairs,,Ytoom
A004,S0,,,Platform Bench 4ft / Natural Ash,Discontinued,inventory,0,0,859,,SCGF-300,$113.00 ,,,Chairs,,Freeroom
A004,S3,,,Platform Bench 4ft / American Walnut Stain,Discontinued,inventory,0,0,859,,SCGF-300,$168.00 ,,,Chairs,,Freeroom
A005,S0,,,Platform Bench 5ft / Natural Ash,Discontinued,inventory,0,0,1169,,SCGF-300,$130.00 ,,,Chairs,,Freeroom
A005,S3,,,Platform Bench 5ft / American Walnut Stain,Discontinued,inventory,0,0,1169,,SCGF-300,$205.00 ,,,Chairs,,Freeroom
A006,S0,,,Platform Bench 6ft / Natural Ash,Discontinued,,0,0,1319,,SCGF-300,$154.00 ,,,Chairs,,Freeroom
A006,S3,,,Platform Bench 6ft / American Walnut Stain,Discontinued,,0,0,1319,,SCGF-300,$235.00 ,,,Chairs,,Freeroom
A007,H0,,,Pavilion Bench Top Grain-Black / 4ft,Non-Inventory,,0,4,1519,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,H1,,,Pavilion Bench Top Grain-White / 4ft,Non-Inventory,,0,6,1519,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,H2,,,Pavilion Bench Top Grain-Cream / 4ft,Non-Inventory,,0,0,1519,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,H3,,,Pavilion Bench Top Grain-Dark Brown / 4ft,Non-Inventory,,0,0,1519,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,H4,,,Pavilion Bench Top Grain Tan 4ft,Non-Inventory,,0,1,1519,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,H5,,,Pavilion Bench Top Grain-Red / 4ft,Non-Inventory,,0,0,1519,,SCTF-100,$255.00 ,,,Chairs,,Titahot
A007,J0,,,Pavilion Bench Vintage Leather-Brown / 4ft,Non-Inventory,,0,1,2129,,SCTF-100,$311.00 ,,,Chairs,,Titahot
A007,J5,,,Pavilion Bench Vintage Leather-Caramel / 4ft,Non-Inventory,,0,0,2129,,SCTF-100,$311.00 ,,,Chairs,,Titahot
A007,V0,,,Pavilion Bench Aniline Leather-Black / 4ft,Non-Inventory,,0,4,1679,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,V1,,,Pavilion Bench Aniline Leather-White / 4ft,Non-Inventory,,0,6,1679,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,V2,,,Pavilion Bench Aniline Leather-Cream / 4ft,Non-Inventory,,0,0,1679,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,V3,,,Pavilion Bench Aniline Leather-Dark Brown / 4ft,Non-Inventory,,0,1,1679,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,V4,,,Pavilion Bench Aniline Leather-Beige / 4ft,Non-Inventory,,0,0,1679,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A007,V5,,,Pavilion Bench Aniline Leather-Camel / 4ft,Non-Inventory,,0,1,1679,,SCTF-100,$270.00 ,,,Chairs,,Titahot
A008,H0,,,Pavilion Bench Top Grain-Black / 6ft,Non-Inventory,,0,6,1679,,SCTF-100,$327.00 ,,,Chairs,,Titahot
A008,H1,,,Pavilion Bench Top Grain-White / 6ft,Non-Inventory,,0,9,1679,,SCTF-100,$327.00 ,,,Chairs,,Titahot
A008,H2,,,Pavilion Bench Top Grain-Cream / 6ft,Non-Inventory,,0,1,1679,,SCTF-100,$327.00 ,,,Chairs,,Titahot
A008,H3,,,Pavilion Bench Top Grain-Dark Brown / 6ft,Non-Inventory,,0,0,1679,,SCTF-100,$327.00 ,,,Chairs,,Titahot
A008,H4,,,Pavilion Bench Top Grain-Tan / 6ft,Non-Inventory,,0,1,1679,,SCTF-100,$309.00 ,,,Chairs,,Titahot
A008,H5,,,Pavilion Bench Top Grain-Red / 6ft,Non-Inventory,,0,0,1679,,SCTF-100,$309.00 ,,,Chairs,,Titahot
A008,J0,,,Pavilion Bench Vintage Leather-Brown / 6ft,Non-Inventory,,0,0,2289,,SCTF-100,$383.00 ,,,Chairs,,Titahot
A008,J5,,,Pavilion Bench Vintage Leather-Caramel / 6ft,Non-Inventory,,0,2,2289,,SCTF-100,$383.00 ,,,Chairs,,Titahot
A008,V0,,,Pavilion Bench Aniline Leather-Black / 6ft,Non-Inventory,,0,1,2019,,SCTF-100,$329.00 ,,,Chairs,,Titahot
A008,V1,,,Pavilion Bench Aniline Leather-White / 6ft,Non-Inventory,,0,2,2019,,SCTF-100,$329.00 ,,,Chairs,,Titahot
A008,V2,,,Pavilion Bench Aniline Leather-Cream / 6ft,Non-Inventory,,0,0,2019,,SCTF-100,$329.00 ,,,Chairs,,Titahot
A008,V3,,,Pavilion Bench Aniline Leather-Dark Brown / 6ft,Non-Inventory,,0,1,2019,,SCTF-100,$329.00 ,,,Chairs,,Titahot
A008,V4,,,Pavilion Bench Aniline Leather-Beige / 6ft,Non-Inventory,,0,0,2019,,SCTF-100,$329.00 ,,,Chairs,,Titahot
